pid	task_type	static_priority	start_jiffies	finish_jiffies	deadline	allocated_jiffies	actual_start_jiffies	actual_finish_jiffies	actual_consumed_jiffies	cpu_priority	initial_cpu	counter	task_counter	dynamic_priority	bonus	start_time	finish_time	actual_time
20	1	116	44784	45434	45634	650	44800	45500	700	[(None, None)]	3	-50	0	None	0	1336313096.14	1336313096.14	0.000329971313477
69	1	115	105048	105072	105272	24	105100	105200	100	[(None, None)]	0	-76	0	None	0	1336313096.15	1336313096.15	5.00679016113e-05
47	1	135	125465	125574	125774	109	125500	125700	200	[(None, None)]	2	-91	0	None	0	1336313096.15	1336313096.15	9.51290130615e-05
1	1	114	201397	202545	202745	1148	201400	202600	1200	[(None, None)]	0	-52	0	None	0	1336313096.15	1336313096.15	0.000507116317749
84	1	112	208630	210111	210311	1481	208700	210200	1500	[(None, None)]	3	-19	0	None	0	1336313096.16	1336313096.16	0.000632047653198
67	1	115	344212	344610	344810	398	344300	344700	400	[(None, None)]	3	-2	0	None	0	1336313096.17	1336313096.17	0.00022292137146
26	2	116	356424	356472	356672	48	356500	356600	100	[(None, None)]	0	-52	0	None	0	1336313096.17	1336313096.17	5.00679016113e-05
14	0	114	386800	386818	387018	18	386800	386900	100	[(None, None)]	1	-82	0	None	0	1336313096.17	1336313096.17	5.22136688232e-05
28	2	117	399724	399898	400098	174	399800	400000	200	[(None, None)]	2	-26	0	None	0	1336313096.17	1336313096.17	9.20295715332e-05
100	1	112	458471	459285	459485	814	458500	459400	900	[(None, None)]	3	-86	0	None	0	1336313096.18	1336313096.18	0.000386953353882
96	2	105	468893	469068	469268	175	468900	469100	200	[(None, None)]	3	-25	0	None	0	1336313096.18	1336313096.18	9.29832458496e-05
38	2	117	490588	490614	490814	26	490600	490700	100	[(None, None)]	3	-74	0	None	0	1336313096.18	1336313096.18	5.31673431396e-05
2	1	126	573474	573628	573828	154	573500	573700	200	[(None, None)]	3	-46	0	None	0	1336313096.19	1336313096.19	9.58442687988e-05
33	2	118	614437	614929	615129	492	614500	615000	500	[(None, None)]	0	-8	0	None	0	1336313096.19	1336313096.19	0.000216007232666
41	0	118	630348	630839	631039	491	630400	630900	500	[(None, None)]	3	-9	0	None	0	1336313096.19	1336313096.19	0.000226020812988
6	2	134	695527	695542	695742	15	695600	695700	100	[(None, None)]	0	-85	0	None	0	1336313096.2	1336313096.2	5.19752502441e-05
89	0	117	721538	722261	722461	723	721600	722400	800	[(None, None)]	2	-77	0	None	0	1336313096.2	1336313096.2	0.000344038009644
4	1	103	761248	761319	761519	71	761300	761400	100	[(None, None)]	1	-29	0	None	0	1336313096.21	1336313096.21	5.10215759277e-05
53	2	105	790407	792134	792334	1727	790500	792300	1800	[(None, None)]	3	-73	0	None	0	1336313096.21	1336313096.21	0.000756978988647
85	1	115	829608	831117	831317	1509	829700	831300	1600	[(None, None)]	1	-91	0	None	0	1336313096.21	1336313096.21	0.000670909881592
48	1	117	854761	854844	855044	83	854800	854900	100	[(None, None)]	1	-17	0	None	0	1336313096.21	1336313096.21	5.00679016113e-05
73	1	110	882829	884816	885016	1987	882900	884900	2000	[(None, None)]	2	-13	0	None	0	1336313096.22	1336313096.22	0.000843048095703
60	1	128	902675	902692	902892	17	902700	902800	100	[(None, None)]	1	-83	0	None	0	1336313096.22	1336313096.22	4.98294830322e-05
39	1	118	922314	923855	924055	1541	922400	924000	1600	[(None, None)]	1	-59	0	None	0	1336313096.22	1336313096.22	0.000668048858643
7	2	123	925168	925495	925695	327	925200	925600	400	[(None, None)]	0	-73	0	None	0	1336313096.22	1336313096.22	0.000171899795532
86	1	117	945734	945928	946128	194	945800	946000	200	[(None, None)]	2	-6	0	None	0	1336313096.22	1336313096.22	9.17911529541e-05
11	2	122	980898	981005	981205	107	980900	981100	200	[(None, None)]	2	-93	0	None	0	1336313096.23	1336313096.23	9.29832458496e-05
72	2	125	987974	989374	989574	1400	988000	989400	1400	[(None, None)]	0	0	0	None	0	1336313096.23	1336313096.23	0.000585079193115
42	2	115	990143	991708	991908	1565	990200	991800	1600	[(None, None)]	1	-35	0	None	0	1336313096.23	1336313096.23	0.000667810440063
10	1	126	1045413	1047255	1047455	1842	1045500	1047400	1900	[(None, None)]	0	-58	0	None	0	1336313096.23	1336313096.23	0.000797033309937
81	2	113	1154533	1154640	1154840	107	1154600	1154800	200	[(None, None)]	1	-93	0	None	0	1336313096.24	1336313096.24	9.29832458496e-05
75	1	112	1166930	1167117	1167317	187	1167000	1167200	200	[(None, None)]	0	-13	0	None	0	1336313096.25	1336313096.25	9.08374786377e-05
74	1	114	1176585	1177703	1177903	1118	1176600	1177800	1200	[(None, None)]	1	-82	0	None	0	1336313096.25	1336313096.25	0.000504970550537
78	3	138	1183631	1183666	1183866	35	1183700	1183800	100	[(None, None)]	3	-65	0	None	0	1336313096.25	1336313096.25	5.10215759277e-05
19	1	133	1200629	1202403	1202603	1774	1200700	1202500	1800	[(None, None)]	1	-26	0	None	0	1336313096.25	1336313096.25	0.000755071640015
3	1	111	1282616	1283717	1283917	1101	1282700	1283900	1200	[(None, None)]	0	-99	0	None	0	1336313096.26	1336313096.26	0.000505924224854
71	2	126	1300676	1301663	1301863	987	1300700	1301700	1000	[(None, None)]	1	-13	0	None	0	1336313096.26	1336313096.26	0.00042200088501
87	1	103	1361974	1363247	1363447	1273	1362000	1363300	1300	[(None, None)]	2	-27	0	None	0	1336313096.26	1336313096.26	0.000546932220459
46	1	119	1448371	1449660	1449860	1289	1448400	1449700	1300	[(None, None)]	2	-11	0	None	0	1336313096.27	1336313096.27	0.000548839569092
82	2	118	1479142	1479225	1479425	83	1479200	1479300	100	[(None, None)]	2	-17	0	None	0	1336313096.28	1336313096.28	5.19752502441e-05
99	2	122	1500343	1500442	1500642	99	1500400	1500500	100	[(None, None)]	1	-1	0	None	0	1336313096.28	1336313096.28	5.10215759277e-05
24	0	135	1634891	1635831	1636031	940	1634900	1635900	1000	[(None, None)]	3	-60	0	None	0	1336313096.29	1336313096.29	0.000426054000854
79	2	114	1638987	1639063	1639263	76	1639000	1639100	100	[(None, None)]	3	-24	0	None	0	1336313096.29	1336313096.29	5.10215759277e-05
62	1	121	1786917	1787733	1787933	816	1787000	1787900	900	[(None, None)]	1	-84	0	None	0	1336313096.3	1336313096.3	0.0003821849823
76	1	110	1901226	1901373	1901573	147	1901300	1901500	200	[(None, None)]	3	-53	0	None	0	1336313096.31	1336313096.31	9.3936920166e-05
49	1	123	1926575	1926586	1926786	11	1926600	1926700	100	[(None, None)]	3	-89	0	None	0	1336313096.31	1336313096.32	6.29425048828e-05
94	1	135	2107123	2108971	2109171	1848	2107200	2109100	1900	[(None, None)]	2	-52	0	None	0	1336313096.33	1336313096.33	0.000807046890259
21	1	134	2157424	2157436	2157636	12	2157500	2157600	100	[(None, None)]	2	-88	0	None	0	1336313096.34	1336313096.34	5.19752502441e-05
90	1	132	2216268	2218049	2218249	1781	2216300	2218100	1800	[(None, None)]	3	-19	0	None	0	1336313096.34	1336313096.34	0.000753879547119
98	0	121	2286805	2287491	2287691	686	2286900	2287600	700	[(None, None)]	3	-14	0	None	0	1336313096.35	1336313096.35	0.000300884246826
77	1	118	2316643	2318490	2318690	1847	2316700	2318600	1900	[(None, None)]	0	-53	0	None	0	1336313096.35	1336313096.35	0.000795841217041
8	1	139	2317592	2317676	2317876	84	2317600	2318700	1100	[(None, None)]	0	-16	0	None	0	1336313096.35	1336313096.35	0.000463008880615
91	3	125	2431248	2431657	2431857	409	2431300	2431800	500	[(None, None)]	3	-91	0	None	0	1336313096.36	1336313096.36	0.000218152999878
59	3	120	2456959	2457115	2457315	156	2457000	2457200	200	[(None, None)]	3	-44	0	None	0	1336313096.36	1336313096.36	9.48905944824e-05
5	2	116	2475421	2475911	2476111	490	2475500	2476000	500	[(None, None)]	0	-10	0	None	0	1336313096.37	1336313096.37	0.000214099884033
34	2	115	2480551	2481497	2481697	946	2480600	2481600	1000	[(None, None)]	1	-54	0	None	0	1336313096.37	1336313096.37	0.000432968139648
64	1	125	2538857	2539045	2539245	188	2538900	2539100	200	[(None, None)]	1	-12	0	None	0	1336313096.37	1336313096.37	9.29832458496e-05
12	1	113	2551882	2552951	2553151	1069	2551900	2553000	1100	[(None, None)]	0	-31	0	None	0	1336313096.37	1336313096.37	0.00046706199646
43	3	110	2552392	2552738	2552938	346	2552400	2553400	1000	[(None, None)]	0	-54	0	None	0	1336313096.37	1336313096.37	0.000425100326538
70	3	121	2604167	2604175	2604375	8	2604200	2604300	100	[(None, None)]	1	-92	0	None	0	1336313096.38	1336313096.38	5.10215759277e-05
31	1	129	2705071	2705141	2705341	70	2705100	2705200	100	[(None, None)]	2	-30	0	None	0	1336313096.39	1336313096.39	5.3882598877e-05
27	1	138	2722707	2722854	2723054	147	2722800	2723000	200	[(None, None)]	0	-53	0	None	0	1336313096.39	1336313096.39	9.01222229004e-05
63	2	129	2752076	2753390	2753590	1314	2752100	2753500	1400	[(None, None)]	3	-86	0	None	0	1336313096.39	1336313096.39	0.00058913230896
40	1	121	2764863	2766097	2766297	1234	2764900	2766200	1300	[(None, None)]	2	-66	0	None	0	1336313096.39	1336313096.39	0.000546932220459
25	1	115	2776389	2777027	2777227	638	2776400	2777100	700	[(None, None)]	2	-62	0	None	0	1336313096.39	1336313096.39	0.000298976898193
97	1	133	2835948	2836930	2837130	982	2836000	2837000	1000	[(None, None)]	2	-18	0	None	0	1336313096.4	1336313096.4	0.000423908233643
29	1	110	2870066	2870169	2870369	103	2870100	2870300	200	[(None, None)]	3	-97	0	None	0	1336313096.4	1336313096.4	9.3936920166e-05
54	1	112	2898075	2898110	2898310	35	2898100	2898200	100	[(None, None)]	1	-65	0	None	0	1336313096.41	1336313096.41	5.00679016113e-05
51	1	114	2909361	2910616	2910816	1255	2909400	2910700	1300	[(None, None)]	0	-45	0	None	0	1336313096.41	1336313096.41	0.000545978546143
50	3	118	2911535	2912894	2913094	1359	2911600	2913000	1400	[(None, None)]	1	-41	0	None	0	1336313096.41	1336313096.41	0.000586032867432
65	3	117	2971448	2971595	2971795	147	2971500	2971700	200	[(None, None)]	1	-53	0	None	0	1336313096.41	1336313096.41	9.29832458496e-05
9	1	122	2976744	2977549	2977749	805	2976800	2977700	900	[(None, None)]	1	-95	0	None	0	1336313096.41	1336313096.41	0.000380039215088
83	1	118	3002849	3004502	3004702	1653	3002900	3004600	1700	[(None, None)]	2	-47	0	None	0	1336313096.42	1336313096.42	0.000711917877197
35	3	121	3028743	3028864	3029064	121	3028800	3029000	200	[(None, None)]	1	-79	0	None	0	1336313096.42	1336313096.42	9.20295715332e-05
95	3	129	3058344	3058534	3058734	190	3058400	3058600	200	[(None, None)]	1	-10	0	None	0	1336313096.42	1336313096.42	9.20295715332e-05
58	1	112	3067843	3068096	3068296	253	3067900	3068200	300	[(None, None)]	2	-47	0	None	0	1336313096.42	1336313096.42	0.000133991241455
23	1	121	3069144	3070203	3070403	1059	3069200	3070300	1100	[(None, None)]	2	-41	0	None	0	1336313096.42	1336313096.42	0.000473022460938
52	1	119	3219685	3221652	3221852	1967	3219700	3221700	2000	[(None, None)]	2	-33	0	None	0	1336313096.44	1336313096.44	0.000838994979858
80	3	119	3272444	3274005	3274205	1561	3272500	3274100	1600	[(None, None)]	2	-39	0	None	0	1336313096.44	1336313096.44	0.000716209411621
56	3	102	3273202	3273242	3273442	40	3273300	3273400	100	[(None, None)]	1	-60	0	None	0	1336313096.44	1336313096.44	7.9870223999e-05
13	2	122	3277930	3277948	3278148	18	3278000	3278100	100	[(None, None)]	0	-82	0	None	0	1336313096.44	1336313096.44	4.79221343994e-05
66	1	112	3347833	3347956	3348156	123	3347900	3348100	200	[(None, None)]	2	-77	0	None	0	1336313096.45	1336313096.45	9.48905944824e-05
17	3	131	3376616	3376701	3376901	85	3376700	3376800	100	[(None, None)]	3	-15	0	None	0	1336313096.45	1336313096.45	5.19752502441e-05
44	3	123	3402593	3402783	3402983	190	3402600	3402800	200	[(None, None)]	1	-10	0	None	0	1336313096.45	1336313096.45	9.29832458496e-05
18	1	111	3406932	3408049	3408249	1117	3407000	3408200	1200	[(None, None)]	2	-83	0	None	0	1336313096.45	1336313096.45	0.000504016876221
15	1	124	3421684	3422389	3422589	705	3421700	3422500	800	[(None, None)]	0	-95	0	None	0	1336313096.46	1336313096.46	0.000468015670776
57	2	132	3421712	3422060	3422260	348	3421800	3422200	400	[(None, None)]	2	-52	0	None	0	1336313096.46	1336313096.46	0.000298976898193
68	1	124	3468251	3469864	3470064	1613	3468300	3470000	1700	[(None, None)]	0	-87	0	None	0	1336313096.46	1336313096.46	0.000711917877197
32	1	129	3480035	3480100	3480300	65	3480100	3480200	100	[(None, None)]	0	-35	0	None	0	1336313096.46	1336313096.46	4.88758087158e-05
30	0	110	3497815	3499643	3499843	1828	3497900	3499800	1900	[(None, None)]	0	-72	0	None	0	1336313096.46	1336313096.46	0.00079083442688
93	2	116	3551937	3552012	3552212	75	3552000	3552100	100	[(None, None)]	1	-25	0	None	0	1336313096.47	1336313096.47	5.00679016113e-05
36	1	120	3566708	3566803	3567003	95	3566800	3566900	100	[(None, None)]	3	-5	0	None	0	1336313096.47	1336313096.47	5.22136688232e-05
37	1	119	3637236	3637307	3637507	71	3637300	3637400	100	[(None, None)]	3	-29	0	None	0	1336313096.48	1336313096.48	5.29289245605e-05
16	1	130	3657835	3657852	3658052	17	3657900	3658000	100	[(None, None)]	2	-83	0	None	0	1336313096.48	1336313096.48	5.10215759277e-05
88	1	116	3718283	3718386	3718586	103	3718300	3718500	200	[(None, None)]	0	-97	0	None	0	1336313096.48	1336313096.48	9.10758972168e-05
45	3	121	3721656	3722955	3723155	1299	3721700	3723000	1300	[(None, None)]	1	-1	0	None	0	1336313096.48	1336313096.48	0.000545978546143
61	1	129	3724727	3726036	3726236	1309	3724800	3726200	1400	[(None, None)]	1	-91	0	None	0	1336313096.48	1336313096.48	0.000591993331909
92	0	130	3807795	3808719	3808919	924	3807800	3808800	1000	[(None, None)]	0	-76	0	None	0	1336313096.49	1336313096.49	0.000420093536377
22	2	106	3831291	3831999	3832199	708	3831300	3832100	800	[(None, None)]	0	-92	0	None	0	1336313096.49	1336313096.49	0.000337839126587
55	3	115	3864735	3864768	3864968	33	3864800	3864900	100	[(None, None)]	1	-67	0	None	0	1336313096.5	1336313096.5	4.91142272949e-05
